web_scraper_order,web_scraper_start_url,nom,prix,adresse,conteneur,image_lien
"1772320463-372","https://sn.coinafrique.com/categorie/moutons?page=6","Moutons","200 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3496815","https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg"
"1772320463-458","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton Ladoum","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3973513",""
"1772320465-459","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton Ladoum","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3973521",""
"1772320466-373","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton Azawate pur sang","500 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawate-pur-sang-3503706","https://images.coinafrique.com/thumb_3503706_uploaded_image1_1640971116.jpg"
"1772320468-374","https://sn.coinafrique.com/categorie/moutons?page=6","Moutons","150 000 CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3515632","https://images.coinafrique.com/thumb_5521645_uploaded_image1_1757668518.jpg"
"1772320468-460","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","130 000 CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3974793",""
"1772320470-461","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","115 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3978496",""
"1772320471-375","https://sn.coinafrique.com/categorie/moutons?page=6","Moutons","400 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3525532","https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg"
"1772320472-462","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","200 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4009060",""
"1772320473-376","https://sn.coinafrique.com/categorie/moutons?page=6","Femelle Ladoum","300 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-3526953","https://images.coinafrique.com/thumb_4969224_uploaded_image1_1727728741.jpg"
"1772320475-377","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton ladoum","600 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3527221","https://images.coinafrique.com/thumb_4773721_uploaded_image1_1717238496.jpg"
"1772320475-463","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","350 000 CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4009435",""
"1772320477-464","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","120 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4012817",""
"1772320478-378","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton ladoume","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoume-3537709","https://images.coinafrique.com/thumb_4931367_uploaded_image1_1725633697.jpg"
"1772320479-465","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","385 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4014306",""
"1772320480-379","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton Géniteur Ladoum","500 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-geniteur-ladoum-3543117","https://images.coinafrique.com/thumb_3543117_uploaded_image1_1643390803.jpg"
"1772320482-466","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4029736",""
"1772320483-380","https://sn.coinafrique.com/categorie/moutons?page=6","Géniteur Ladoum","500 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/geniteur-ladoum-3543142","https://images.coinafrique.com/thumb_4948067_uploaded_image1_1726569636.jpg"
"1772320484-467","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4029738",""
"1772320485-381","https://sn.coinafrique.com/categorie/moutons?page=6","Femmelle métisse Ladoum","100 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femmelle-metisse-ladoum-3543145","https://images.coinafrique.com/thumb_3543145_uploaded_image1_1643391739.jpg"
"1772320486-468","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4029740",""
"1772320487-382","https://sn.coinafrique.com/categorie/moutons?page=6","Moutons","400 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3552558","https://images.coinafrique.com/thumb_3552558_uploaded_image1_1643898213.jpg"
"1772320489-469","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","350 000 CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4030108",""
"1772320490-383","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton femelle Ladoum","Prix sur demande","Thies, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-3560816","https://images.coinafrique.com/thumb_3560816_uploaded_image1_1644418375.jpg"
"1772320491-470","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton ladoum","425 000 CFA","Niaga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4034404",""
"1772320492-384","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton femelle Ladoum","300 000 CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-3566393","https://images.coinafrique.com/thumb_5026510_uploaded_image1_1730734414.jpg"
"1772320493-471","https://sn.coinafrique.com/categorie/moutons?page=4","Moutons","200 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-4042194",""
