web_scraper_order,web_scraper_start_url,conteneur,nom,prix,adresse,image_lien
"1772321217-35","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1825906","Chat siamois","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1772321219-36","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/dindon-rouge-1890125","Dindon rouge","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
"1772321222-37","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1899735","Chat Siamois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg"
"1772321224-38","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1934309","Perruches","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png"
"1772321226-39","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-1935403","Chaton Persan","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5278827_uploaded_image1_1744477884.jpg"
"1772321229-40","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1935629","Vaches","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1772321231-41","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1954085","Bœufs","Prix sur demande","Diourbel, Sénégal",""
"1772321233-42","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chaton-1962491","Chaton","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5278827_uploaded_image1_1744477884.jpg"
"1772321236-43","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1998573","Boeuf","475 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg"
"1772321238-44","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-chinchilla-2025374","Chaton persan chinchilla","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3515163_uploaded_image1_1641642618.jpg"
