web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien,conteneur
"1772320034-47","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Pitbull","130 000 CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_4226576_uploaded_image1_1684815976.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4219240"
"1772320037-48","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Pitbulls","190 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4219520_uploaded_image2_1684323670.jpeg","https://sn.coinafrique.com/annonce/chiens/chiots-pitbulls-4219520"
"1772320039-49","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","125 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4220216_uploaded_image1_1684354056.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4220216"
"1772320041-50","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon Maltais","190 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4220294_uploaded_image1_1684360783.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4220294"
"1772320044-51","https://sn.coinafrique.com/categorie/chiens?page=5","Chien Berger allemand","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4657472_uploaded_image1_1711294709.jpg","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4221634"
"1772320050-52","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Pitbull","100 000 CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_4226576_uploaded_image1_1684815976.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4226576"
"1772320053-53","https://sn.coinafrique.com/categorie/chiens?page=5","Chien","150 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5277780_uploaded_image1_1744399979.jpg","https://sn.coinafrique.com/annonce/chiens/chien-4227862"
"1772320055-54","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots malinois","220 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4969495_uploaded_image1_1727744912.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4235508"
"1772320058-55","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Pitbull","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4240673_uploaded_image1_1685739306.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4240673"
"1772320060-56","https://sn.coinafrique.com/categorie/chiens?page=5","Chien  Rottweiler","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4242529_uploaded_image1_1685899419.jpg","https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-4242529"
"1772320063-57","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Bergers australien","650 000 CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_4242936_uploaded_image1_1685941455.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-australien-4242936"
"1772320065-58","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Malinois","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4255782"
"1772320067-59","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Labrador","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5136517_uploaded_image1_1736959572.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-4257284"
"1772320070-60","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Malinois","Prix sur demande","Saly, Sénégal","https://images.coinafrique.com/thumb_4795597_uploaded_image1_1718373916.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4260253"
"1772320072-61","https://sn.coinafrique.com/categorie/chiens?page=5","Chien berger Allemand","250 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_4263673_uploaded_image1_1687280336.jpg","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4263673"
"1772320074-62","https://sn.coinafrique.com/categorie/chiens?page=5","Chien Berger Allemand","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4657472_uploaded_image1_1711294709.jpg","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4266819"
"1772320077-63","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4268216"
